Tipo de infracción;Comunidades y ciudades autónomas;Periodo;Total
Delitos;Ceuta;2019;63
Delitos;Ceuta;2018;72
Delitos;Ceuta;2017;83
Delitos;Ceuta;2016;97
Delitos;Ceuta;2015;61
Delitos;Ceuta;2014;52
Delitos;Ceuta;2013;60
Delitos;Ceuta;2012;42
Delitos;Ceuta;2011;55
Delitos;Melilla;2023;290
Delitos;Melilla;2022;147
Delitos;Melilla;2021;68
Delitos;Melilla;2020;92
Delitos;Melilla;2019;86
Delitos;Melilla;2018;70
Delitos;Melilla;2017;90
Delitos;Melilla;2016;68
Delitos;Melilla;2015;107
Delitos;Melilla;2014;66
Delitos;Melilla;2013;58
Delitos;Melilla;2012;61
Delitos;Melilla;2011;58
Homicidio y sus formas;Total Nacional;2023;125
Homicidio y sus formas;Total Nacional;2022;92
Homicidio y sus formas;Total Nacional;2021;77
Homicidio y sus formas;Total Nacional;2020;81
Homicidio y sus formas;Total Nacional;2019;97
Homicidio y sus formas;Total Nacional;2018;86
Homicidio y sus formas;Total Nacional;2017;83
Homicidio y sus formas;Total Nacional;2016;81
Homicidio y sus formas;Total Nacional;2015;80
Homicidio y sus formas;Total Nacional;2014;87
Homicidio y sus formas;Total Nacional;2013;89
Homicidio y sus formas;Total Nacional;2012;75
Homicidio y sus formas;Total Nacional;2011;87
Homicidio y sus formas;Andalucía;2023;22
Homicidio y sus formas;Andalucía;2022;16
Homicidio y sus formas;Andalucía;2021;14
Homicidio y sus formas;Andalucía;2020;10
Homicidio y sus formas;Andalucía;2019;16
Homicidio y sus formas;Andalucía;2018;23
Homicidio y sus formas;Andalucía;2017;11
Homicidio y sus formas;Andalucía;2016;15
Homicidio y sus formas;Andalucía;2015;14
Homicidio y sus formas;Andalucía;2014;14
Homicidio y sus formas;Andalucía;2013;15
Homicidio y sus formas;Andalucía;2012;8
Homicidio y sus formas;Andalucía;2011;23
Homicidio y sus formas;Aragón;2023;3
Homicidio y sus formas;Aragón;2022;3
Homicidio y sus formas;Aragón;2021;2
Homicidio y sus formas;Aragón;2020;1
Homicidio y sus formas;Aragón;2019;2
Homicidio y sus formas;Aragón;2018;3
Homicidio y sus formas;Aragón;2017;1
Homicidio y sus formas;Aragón;2016;3
Homicidio y sus formas;Aragón;2015;4
Homicidio y sus formas;Aragón;2014;1
Homicidio y sus formas;Aragón;2013;4
Homicidio y sus formas;Aragón;2012;2
Homicidio y sus formas;Aragón;2011;2
Homicidio y sus formas;Asturias, Principado de;2023;3
Homicidio y sus formas;Asturias, Principado de;2022;1
Homicidio y sus formas;Asturias, Principado de;2021;2
Homicidio y sus formas;Asturias, Principado de;2020;1
Homicidio y sus formas;Asturias, Principado de;2019;2
Homicidio y sus formas;Asturias, Principado de;2018;1
Homicidio y sus formas;Asturias, Principado de;2017;0
Homicidio y sus formas;Asturias, Principado de;2016;5
Homicidio y sus formas;Asturias, Principado de;2015;4
Homicidio y sus formas;Asturias, Principado de;2014;1
Homicidio y sus formas;Asturias, Principado de;2013;2
Homicidio y sus formas;Asturias, Principado de;2012;1
Homicidio y sus formas;Asturias, Principado de;2011;2
Homicidio y sus formas;Balears, Illes;2023;0
Homicidio y sus formas;Balears, Illes;2022;1
Homicidio y sus formas;Balears, Illes;2021;2
Homicidio y sus formas;Balears, Illes;2020;4
Homicidio y sus formas;Balears, Illes;2019;5
Homicidio y sus formas;Balears, Illes;2018;3
Homicidio y sus formas;Balears, Illes;2017;2
Homicidio y sus formas;Balears, Illes;2016;5
Homicidio y sus formas;Balears, Illes;2015;1
Homicidio y sus formas;Balears, Illes;2014;3
Homicidio y sus formas;Balears, Illes;2013;5
Homicidio y sus formas;Balears, Illes;2012;1
Homicidio y sus formas;Balears, Illes;2011;2
Homicidio y sus formas;Canarias;2023;12
Homicidio y sus formas;Canarias;2022;8
Homicidio y sus formas;Canarias;2021;4
Homicidio y sus formas;Canarias;2020;9
Homicidio y sus formas;Canarias;2019;12
Homicidio y sus formas;Canarias;2018;7
Homicidio y sus formas;Canarias;2017;7
Homicidio y sus formas;Canarias;2016;1
Homicidio y sus formas;Canarias;2015;5
Homicidio y sus formas;Canarias;2014;5
Homicidio y sus formas;Canarias;2013;5
Homicidio y sus formas;Canarias;2012;5
Homicidio y sus formas;Canarias;2011;4
Homicidio y sus formas;Cantabria;2023;1
Homicidio y sus formas;Cantabria;2022;0
Homicidio y sus formas;Cantabria;2021;2
Homicidio y sus formas;Cantabria;2020;0
Homicidio y sus formas;Cantabria;2019;1
Homicidio y sus formas;Cantabria;2018;0
Homicidio y sus formas;Cantabria;2017;0
Homicidio y sus formas;Cantabria;2016;0
Homicidio y sus formas;Cantabria;2015;1
Homicidio y sus formas;Cantabria;2014;0
Homicidio y sus formas;Cantabria;2013;2
Homicidio y sus formas;Cantabria;2012;0
Homicidio y sus formas;Cantabria;2011;0
Homicidio y sus formas;Castilla y León;2023;9
Homicidio y sus formas;Castilla y León;2022;1
Homicidio y sus formas;Castilla y León;2021;2
Homicidio y sus formas;Castilla y León;2020;2
Homicidio y sus formas;Castilla y León;2019;4
Homicidio y sus formas;Castilla y León;2018;5
Homicidio y sus formas;Castilla y León;2017;2
Homicidio y sus formas;Castilla y León;2016;5
Homicidio y sus formas;Castilla y León;2015;1
Homicidio y sus formas;Castilla y León;2014;4
Homicidio y sus formas;Castilla y León;2013;3
Homicidio y sus formas;Castilla y León;2012;3
Homicidio y sus formas;Castilla y León;2011;1
Homicidio y sus formas;Castilla - La Mancha;2023;4
Homicidio y sus formas;Castilla - La Mancha;2022;8
Homicidio y sus formas;Castilla - La Mancha;2021;1
Homicidio y sus formas;Castilla - La Mancha;2020;4
Homicidio y sus formas;Castilla - La Mancha;2019;4
Homicidio y sus formas;Castilla - La Mancha;2018;2
Homicidio y sus formas;Castilla - La Mancha;2017;1
Homicidio y sus formas;Castilla - La Mancha;2016;3
Homicidio y sus formas;Castilla - La Mancha;2015;4
Homicidio y sus formas;Castilla - La Mancha;2014;1
Homicidio y sus formas;Castilla - La Mancha;2013;6
Homicidio y sus formas;Castilla - La Mancha;2012;1
Homicidio y sus formas;Castilla - La Mancha;2011;2
Homicidio y sus formas;Cataluña;2023;17
Homicidio y sus formas;Cataluña;2022;18
Homicidio y sus formas;Cataluña;2021;14
Homicidio y sus formas;Cataluña;2020;14
Homicidio y sus formas;Cataluña;2019;20
Homicidio y sus formas;Cataluña;2018;14
Homicidio y sus formas;Cataluña;2017;18
Homicidio y sus formas;Cataluña;2016;9
Homicidio y sus formas;Cataluña;2015;14
Homicidio y sus formas;Cataluña;2014;18
Homicidio y sus formas;Cataluña;2013;10
Homicidio y sus formas;Cataluña;2012;28
Homicidio y sus formas;Cataluña;2011;17
Homicidio y sus formas;Comunitat Valenciana;2023;19
Homicidio y sus formas;Comunitat Valenciana;2022;6
Homicidio y sus formas;Comunitat Valenciana;2021;16
Homicidio y sus formas;Comunitat Valenciana;2020;11
Homicidio y sus formas;Comunitat Valenciana;2019;12
Homicidio y sus formas;Comunitat Valenciana;2018;5
Homicidio y sus formas;Comunitat Valenciana;2017;10
Homicidio y sus formas;Comunitat Valenciana;2016;14
Homicidio y sus formas;Comunitat Valenciana;2015;14
Homicidio y sus formas;Comunitat Valenciana;2014;9
Homicidio y sus formas;Comunitat Valenciana;2013;15
Homicidio y sus formas;Comunitat Valenciana;2012;8
Homicidio y sus formas;Comunitat Valenciana;2011;14
